Courses,,,,The University of Texas at Austin
Coursename,Coursecode,Coursehours,Classification,Department Name

Ethics in Artificial Intelligence,A I 380E,3,Graduate,(A I) - Artificial Intelligence
Artificial Intelligence in Healthcare,A I 380H,3,Graduate,(A I) - Artificial Intelligence
Natural Language Processing,A I 388,3,Graduate,(A I) - Artificial Intelligence
Optimization,A I 388J,3,Graduate,(A I) - Artificial Intelligence
Online Learning and Optimization,A I 388K,3,Graduate,(A I) - Artificial Intelligence
"Planning, Search, and Reasoning Under Uncertainty",A I 388U,3,Graduate,(A I) - Artificial Intelligence
Automated Logical Reasoning,A I 389L,3,Graduate,(A I) - Artificial Intelligence
Machine Learning,A I 391L,3,Graduate,(A I) - Artificial Intelligence
Case Studies in Machine Learning,A I 391M,3,Graduate,(A I) - Artificial Intelligence
Deep Learning,A I 394D,3,Graduate,(A I) - Artificial Intelligence
Reinforcement Learning: Theory and Practice,A I 394R,3,Graduate,(A I) - Artificial Intelligence
Topics in Artificial Intelligence,A I 395T,3,Graduate,(A I) - Artificial Intelligence
Topics in Applied Archaeology,AAR 380,3,Graduate,(AAR) - Applied Archaeology
Introduction to Asian American Studies,AAS 301,3,Lower Division,(AAS) - Asian American Studies
Immigration and Ethnicity,AAS 302,3,Lower Division,(AAS) - Asian American Studies
Introductory Topics in Asian American Studies,AAS 310,3,Lower Division,(AAS) - Asian American Studies
Introduction to Asian American History,AAS 312,3,Lower Division,(AAS) - Asian American Studies
Asian American Literature and Culture,AAS 314,3,Lower Division,(AAS) - Asian American Studies
"Race, Deportation, and Diaspora",AAS 316D,3,Lower Division,(AAS) - Asian American Studies
Supervised Research,AAS 318Q,3,Lower Division,(AAS) - Asian American Studies
Topics in Asian American Studies,"AAS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division,(AAS) - Asian American Studies
Contemporary Asian American Novels,AAS 320C,3,Upper Division,(AAS) - Asian American Studies
